@relation unknown

@attribute sentence string
@attribute NER_DATE numeric
@attribute NER_DURATION numeric
@attribute NER_LOCATION numeric
@attribute NER_MISC numeric
@attribute NER_MONEY numeric
@attribute NER_NUMBER numeric
@attribute NER_ORDINAL numeric
@attribute NER_ORGANIZATION numeric
@attribute NER_PERCENT numeric
@attribute NER_PERSON numeric
@attribute NER_SET numeric
@attribute NER_TIME numeric
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'The User understands and agrees that they may not reuse original or derivative data file(s) without prior written  approval from the appropriate System Manager or the person designated in section 20  of this Agreement.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
12.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The parties mutually agree that the following specified Attachments are part of this Agreement:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
13.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User agrees that in the event CMS determines or has a reasonable belief that the User has made or may have  made a use, reuse or disclosure of the aforesaid file(s) that is not authorized by this Agreement or another written  authorization from the appropriate System Manager or the person designated in section 20 of this Agreement,  CMS, at its sole discretion, may require the User to: (a) promptly investigate and report to CMS the User’s  determinations regarding any alleged or actual unauthorized use, reuse or disclosure, (b) promptly resolve any problems identified by the investigation; (c) if requested by CMS, submit a formal response to an allegation of unauthorized  use, reuse or disclosure; (d) if requested by CMS, submit a corrective action plan with steps designed to prevent  any future unauthorized uses, reuses or disclosures; and (e) if requested by CMS, return data files to CMS or  destroy the data files it received from CMS under this agreement.',1,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'The User understands that as a result of CMS’s  determination or reasonable belief that unauthorized uses, reuses or disclosures have taken place, CMS may refuse  to release further CMS data to the User for a period of time to be determined by CMS.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'The User agrees to report any breach of personally identifiable information (PII) from the CMS data file(s), loss of  these data or disclosure to any unauthorized persons to the CMS Action Desk by telephone at (410) 786-2580 or  by e-mail notification at cms_it_service_desk@cms.hhs.gov within one hour and to cooperate fully in the federal security incident process.',0,1,0,0,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'While CMS retains all ownership rights to the data file(s), as outlined above, the User  shall bear the cost and liability for any breaches of PII from the data file(s) while they are entrusted to the User.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Furthermore, if CMS determines that the risk of harm requires notification of affected individual persons of the  security breach possibly and possibly other remedies, the User agrees to carry out these remedies without cost to CMS.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'Form CMS-R-0235 (06 or 10)',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
14.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User hereby acknowledges that criminal penalties under §1106(a) of the Social Security Act (42 U.S.C.  § 1306(a)), including a fine not exceeding $10,000 or imprisonment not exceeding 5 years, or both, may apply to  disclosures of information that are covered by § 1106 and that are not authorized by regulation or by Federal law.',1,1,0,1,1,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User further acknowledges that criminal penalties under the Privacy Act (5 U.S.C. § 552a(i) (3)) may apply if  it is determined that the Requestor or Custodian, or any individual employed or affiliated therewith, knowingly and willfully obtained the file(s) under false pretenses.',0,0,0,1,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Any person found to have violated sec (i)(3) of the Privacy Act  shall be guilty of a misdemeanor and fined not more than $5,000.',0,1,0,1,1,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Finally, the User acknowledges that criminal  penalties may be imposed under 18 U.S.C. § 641 if it is determined that the User, or any individual employed or  affiliated therewith, has taken or converted to his own use data file(s), or received the file(s) knowing that they were stolen or converted.',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Under such circumstances, they shall be fined under Title 18 or imprisoned not more  than 10 years, or both; but if the value of such property does not exceed the sum of $1,000, they shall be fined  under Title 18 or imprisoned not more than 1 year, or both.',0,1,0,0,1,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
15.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'By signing this Agreement, the User agrees to abide by all provisions set out in this Agreement and acknowledges having received notice of potential criminal or administrative penalties for violation of the terms of the Agreement.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
16.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'On behalf of the User the undersigned individual hereby attests that he or she is authorized to legally bind the User to the terms this Agreement and agrees to all the terms specified herein.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Name and Title of User (typed or printed)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Company or Organization',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Street Address',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
City,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
State,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'ZIP Code',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Office Telephone (Include Area Code)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'E-Mail Address (If applicable)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Signature  Date',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
17.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The parties mutually agree that the following named individual is designated as Custodian of the file(s) on behalf  of the User and will be the person responsible for the observance of all conditions of use and for establishment and  maintenance of security arrangements as specified in this Agreement to prevent unauthorized use.',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User agrees  to notify CMS within fifteen (15) days of any change of custodianship.',0,1,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The parties mutually agree that CMS may disapprove the appointment of a custodian or may require the appointment of a new custodian at any time.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The Custodian hereby acknowledges his or her appointment as Custodian of the aforesaid file(s) on behalf of the  User, and agrees to comply with all of the provisions of this Agreement on behalf of the User.',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Name of Custodian (typed or printed)',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Company or Organization',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Street Address',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
City,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
State,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'ZIP Code',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Office Telephone (Include Area Code)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'E-Mail Address (If applicable)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Signature  Date',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Form CMS-R-0235 (06 or 10)',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
18.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The disclosure provision(s) that allows the discretionary release of CMS data for the purpose(s) stated in section 4  follow(s).',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'(To be completed by CMS staff.)',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
_________________________________________,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
19.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'On behalf of __________________________________ the undersigned individual hereby acknowledges that  the aforesaid Federal agency sponsors or otherwise supports the User’s request for and use of CMS data, agrees  to support CMS in ensuring that the User maintains and uses CMS’s data in accordance with the terms of this Agreement, and agrees further to make no statement to the User concerning the interpretation of the terms of this Agreement and to refer all questions of such interpretation or compliance with the terms of this Agreement to the',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS official named in section 20 (or to his or her successor).',0,0,0,0,0,1,0,1,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,unknown
'Typed or Printed Name',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Title of Federal Representative',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Signature  Date',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Office Telephone (Include Area Code)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'E-Mail Address (If applicable)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
20.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The parties mutually agree that the following named individual will be designated as point-of-contact for the  Agreement on behalf of CMS.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'On behalf of CMS the undersigned individual hereby attests that he or she is authorized to enter into this Agreement and agrees to all the terms specified herein.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Name of CMS Representative (typed or printed)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Title or Component',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Street Address',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Mail Stop',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
City,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
State,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'ZIP Code',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Office Telephone (Include Area Code)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'E-Mail Address (If applicable)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'A. Signature of CMS Representative  Date',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'B. Concur or Nonconcur — Signature of CMS System Manager or Business Owner  Date',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Concur or Nonconcur — Signature of CMS System Manager or Business Owner  Date',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Concur or Nonconcur — Signature of CMS System Manager or Business Owner  Date',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'According to the Paperwork Reduction Act of 1995, no persons are required to respond to a collection of information unless it displays a valid OMB control number.',1,0,0,1,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The valid OMB control number for this information collection is 0938-0734.',0,1,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The time required to complete this information collection is estimated to average 30 minutes per response, including the time to review instructions, search existing data resources, gather the data needed, and complete and review the information collection.',0,1,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'If you have any comments concerning the accuracy of the time estimate(s) or suggestions for improving this form, please write to: CMS, 7500 Security Boulevard, Attn: Reports Clearance Officer, Baltimore, Maryland 21244-1850.',0,0,1,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Getting to the Login Page.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'In your browser\'s address bar you will need to enter the location of your OpenEMR installation.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'For most users this address will consist of the name of your server followed by a forward leaning slash, \"openemr\" and another forward leaning slash.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'This should look like this: http://MyServerName/openemr/.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Be sure to check with your Administrator, as the location of your OpenEMR installation may be different.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'As an example the OpenEMR live demo is located at: http://opensourceemr.com:2100/openemr/.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Once you have entered the correct address, you should be presented with the login screen.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Logging In.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The login screen contains two input boxes: \'Username\' and \'Password\'.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The first time you log in to a fresh installation of OpenEMR you will need to log in as \"admin\" with a password of \"pass\".',0,0,0,0,0,0,1,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Your administrator may provide you with your own username and password.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,unknown
'Note that the OpenEMR login is case-sensitive.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,unknown
'You will also be presented with a drop-down list of possible languages in which you can view OpenEMR.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The default language (English) should already be selected.',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Once you have entered the correct username and password, simply click the \'Login\' button or press \'Enter\'.',1,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown
'Changing Passwords.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'If this is your first time logging in to OpenEMR it is recommended that you change your password to something more secure.',0,0,0,0,0,0,1,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,unknown
'To do this select \'Miscellaneous - Password\' from the navigation list on the left, or simply \'Password\' in the Radio Button navigation scheme.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown
'This will bring up the Password Change screen.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Enter your new password into the two input boxes, make sure you type the same thing into each box.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown
'And remember that OpenEMR\'s username and passwords are case sensitive.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,unknown
'Once you\'ve done this, click the \'Save Changes\' button.',1,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown
'You will then be required to login again with your new password.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,unknown
'Note: If you are using the OpenEMR demo instance, please do NOT change the admin password!',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Main Screen & Navigation.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'A successful login will bring you to the main screen of OpenEMR.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown
'The user is presented with two windows, the Calendar, and below that, the Messages page.',0,0,0,0,0,1,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,unknown
Navigation.,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'OpenEMR can be configured with your choice of three navigation schemes.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,unknown
'Sliding Menu, Tree View, or Radio Buttons.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
